tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0033150,2.0,nm0001452,Charles Laughton,"tt0051201,tt0026752,tt0054331,tt0026955",41,1.0,nm0001479,movie,They Knew What They Wanted,0.0,\N,96,They Knew What They Wanted,1940,"Drama,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",32,9
tt0033185,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,movie,Triple Justice,0.0,\N,66,Triple Justice,1940,"Romance,Western",Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20,21
tt0033221,3.0,nm0000731,Brian Aherne,"tt0030442,tt0036203,tt0057547,tt0027067",38,1.0,nm0001479,movie,Vigil in the Night,0.0,\N,96,Vigil in the Night,1940,"Drama,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",32,6
tt0033279,3.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",30,1.0,nm0000840,movie,You Can't Fool Your Wife,0.0,\N,68,You Can't Fool Your Wife,1940,"Comedy,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29,1
tt0033373,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",40,2.0,nm0001766,movie,Ball of Fire,0.0,\N,111.0,Ball of Fire,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34,6
tt0033511,1.0,nm0906932,Anton Walbrook,"tt0040725,tt0036112,tt0031359,tt0033627",45,2.0,nm0336931,movie,Dangerous Moonlight,0.0,\N,82.0,Suicide Squadron,1941,"Drama,Romance,War",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",26,19
tt0033532,1.0,nm0036427,Edward Arnold,"tt0030993,tt0031679,tt0033532,tt0033891",51,3.0,nm0002034,movie,All That Money Can Buy,0.0,\N,107.0,The Devil and Daniel Webster,1941,"Drama,Fantasy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",62,-11
tt0033533,2.0,nm0191950,Robert Cummings,"tt0046912,tt0035279,tt0047752,tt0039583",31,1.0,nm0000795,movie,The Devil and Miss Jones,0.0,\N,92.0,The Devil and Miss Jones,1941,"Comedy,Romance",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",41,-10
tt0033592,1.0,nm0579663,Adolphe Menjou,"tt0050825,tt0021890,tt0029606,tt0016935",51,2.0,nm0841797,movie,Father Takes a Wife,0.0,\N,79.0,Father Takes a Wife,1941,"Comedy,Romance",Gloria Swanson,1899,1983,"actress,producer,costume_designer","tt0043014,tt0019344,tt0014636,tt0020514",42,9
tt0033615,1.0,nm0610253,Alan Mowbray,"tt0038762,tt0033740,tt0028010,tt0049408",45,3.0,nm0728230,movie,Footlight Fever,0.0,\N,69.0,Footlight Fever,1941,"Comedy,Romance",Elisabeth Risdon,1888,1958,"actress,soundtrack,archive_footage","tt0032181,tt0033717,tt0031641,tt0045125",53,-8
tt0033836,2.0,nm0003339,Herbert Marshall,"tt0032484,tt0021165,tt0023622,tt0033836",51,1.0,nm0000012,movie,The Little Foxes,0.0,\N,116,The Little Foxes,1941,"Drama,Romance",Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140",33,18
tt0033922,2.0,nm0599910,Robert Montgomery,"tt0029310,tt0039545,tt0033712,tt0033922",37,1.0,nm0001479,movie,Mr. & Mrs. Smith,0.0,\N,95,Mr. & Mrs. Smith,1941,"Comedy,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",33,4
tt0033932,1.0,nm0172903,Ronald Colman,"tt0039335,tt0035238,tt0019735,tt0029162",50,2.0,nm0496819,movie,My Life with Caroline,0.0,\N,81,My Life with Caroline,1941,"Comedy,Romance",Anna Lee,1913,2004,"actress,soundtrack,archive_footage","tt0059742,tt0056687,tt0056758,tt0033729",28,22
tt0033968,2.0,nm0639529,Edmond O'Brien,"tt0056217,tt0046754,tt0058576,tt0042369",27,1.0,nm0140863,movie,Obliging Young Lady,0.0,\N,80,Obliging Young Lady,1942,"Comedy,Romance",Joan Carroll,1931,2016,"actress,archive_footage","tt0037059,tt0033968,tt0032946,tt0037536",11,16
tt0034000,1.0,nm0696481,Robert Preston,"tt0056262,tt0084865,tt0087597,tt0083015",23,2.0,nm0446715,movie,Parachute Battalion,0.0,\N,75,Parachute Battalion,1941,"Drama,Romance,War",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",20,3
tt0034094,1.0,nm0852710,Kent Taylor,"tt0032622,tt0040414,tt0033113,tt0031335",35,2.0,nm0057412,movie,Repent at Leisure,0.0,\N,66,Repent at Leisure,1941,"Drama,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",29,6
tt0034243,2.0,nm0001961,Ray Bolger,"tt0032138,tt0054649,tt0045325,tt0044370",37,1.0,nm0623554,movie,Sunny,0.0,\N,98,Sunny,1941,"Musical,Romance",Anna Neagle,1904,1986,"actress,producer,soundtrack","tt0039281,tt0043871,tt0029734,tt0032847",37,0
tt0034280,2.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",31,1.0,nm0000058,movie,They Met in Argentina,0.0,\N,77,They Met in Argentina,1941,"Comedy,Musical,Romance",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",21,10
tt0034473,1.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",32,2.0,nm0943553,movie,Army Surgeon,0.0,\N,63,Army Surgeon,1942,"Drama,Romance,War",Jane Wyatt,1910,2006,"actress,soundtrack,archive_footage","tt0092007,tt0046600,tt0040695,tt0029162",32,0
tt0034514,1.0,nm0000020,Henry Fonda,"tt0050083,tt0082846,tt0032551,tt0051207",37,2.0,nm0000840,movie,The Big Street,0.0,\N,88,The Big Street,1942,"Drama,Music,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31,6
tt0034751,1.0,nm0001961,Ray Bolger,"tt0032138,tt0054649,tt0045325,tt0044370",38,2.0,nm0794297,movie,Four Jacks and a Jill,0.0,\N,68,Four Jacks and a Jill,1942,"Comedy,Music,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",24,14
tt0034810,1.0,nm0669433,Harold Peary,"tt0036864,tt0035940,tt0035941,tt0035307",34,2.0,nm0002034,movie,The Great Gildersleeve,0.0,\N,62,The Great Gildersleeve,1942,"Adventure,Comedy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",63,-29
tt0034856,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",24,2.0,nm0335748,movie,Hitler's Children,0.0,\N,82,Hitler's Children,1943,"Drama,Romance,War",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",20,4
tt0034919,2.0,nm0002134,Paul Henreid,"tt0034583,tt0040444,tt0076009,tt0035140",34,1.0,nm0006807,movie,Joan of Paris,0.0,\N,91.0,Joan of Paris,1942,"Drama,Romance,War",Michèle Morgan,1920,2016,"actress,archive_footage,archive_sound","tt0039004,tt0030643,tt0040338,tt0038409",22,12
tt0035015,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",23,3.0,nm0182537,movie,The Magnificent Ambersons,0.0,\N,88.0,The Magnificent Ambersons,1942,"Drama,Romance",Dolores Costello,1903,1979,"actress,soundtrack,archive_footage","tt0017354,tt0035015,tt0018218,tt0017973",39,-16
tt0035061,2.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",61,1.0,nm0892473,movie,Mexican Spitfire's Elephant,0.0,\N,64.0,Mexican Spitfire's Elephant,1942,"Comedy,Romance",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",34,27
tt0035211,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",41,2.0,nm0942863,movie,The Pride of the Yankees,0.0,\N,128.0,The Pride of the Yankees,1942,"Biography,Drama,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",24,17
tt0035307,1.0,nm0001514,Victor Mature,"tt0046247,tt0039536,tt0038762,tt0035103",29,2.0,nm0000840,movie,Seven Days' Leave,0.0,\N,87,Seven Days' Leave,1942,"Comedy,Musical,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31,-2
tt0035477,1.0,nm0001452,Charles Laughton,"tt0051201,tt0026752,tt0054331,tt0026955",43,3.0,nm0236990,movie,The Tuttles of Tahiti,0.0,\N,91,The Tuttles of Tahiti,1942,"Adventure,Comedy,Romance",Peggy Drake,1922,2014,actress,"tt0035477,tt0034944",20,23
tt0035888,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",35,1.0,nm0751426,movie,Flight for Freedom,0.0,\N,102,Flight for Freedom,1943,"Drama,Romance,War",Rosalind Russell,1907,1976,"actress,writer,soundtrack","tt0051383,tt0032599,tt0056048,tt0032143",36,-1
tt0035952,3.0,nm0876211,Sonny Tufts,"tt0048605,tt0036367,tt0036912,tt0039082",32,1.0,nm0000014,movie,Government Girl,0.0,\N,94,Government Girl,1943,Romance,Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",27,5
tt0036044,1.0,nm0002285,Pat O'Brien,"tt0053291,tt0029870,tt0039772,tt0021890",44,4.0,nm0913095,movie,The Iron Major,0.0,\N,85,The Iron Major,1943,"Biography,Drama,Romance",Ruth Warrick,1916,2005,"actress,miscellaneous,soundtrack","tt0033467,tt0065272,tt0038969,tt0057779",27,17
tt0036091,2.0,nm0000734,Eddie Albert,"tt0046250,tt0058808,tt0068687,tt0056197",35,1.0,nm0892473,movie,Ladies' Day,0.0,\N,62.0,Ladies' Day,1943,"Comedy,Romance,Sport",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",35,0
tt0036092,2.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",36,1.0,nm0000795,movie,A Lady Takes a Chance,0.0,\N,86.0,A Lady Takes a Chance,1943,"Comedy,Romance,Western",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",43,-7
tt0036174,1.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",39,2.0,nm0206478,movie,Mr. Lucky,0.0,\N,100.0,Mr. Lucky,1943,"Comedy,Crime,Romance",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",23,16
tt0036217,2.0,nm0000763,Dana Andrews,"tt0037008,tt0036868,tt0037691,tt0049949",34,1.0,nm0000879,movie,The North Star,0.0,\N,108.0,The North Star,1943,"Drama,Romance,War",Anne Baxter,1923,1985,"actress,soundtrack,archive_footage","tt0042192,tt0049833,tt0035015,tt0038873",20,14
tt0036363,1.0,nm0000001,Fred Astaire,"tt0072308,tt0050419,tt0053137,tt0027125",44,2.0,nm0504125,movie,The Sky's the Limit,0.0,\N,89.0,The Sky's the Limit,1943,"Comedy,Musical,Romance",Joan Leslie,1925,2015,"actress,soundtrack,archive_footage","tt0036363,tt0035575,tt0034167,tt0038026",18,26
tt0036418,2.0,nm0752813,Robert Ryan,"tt0065214,tt0061578,tt0070212,tt0047849",34,1.0,nm0001677,movie,Tender Comrade,0.0,\N,102,Tender Comrade,1943,"Drama,Romance,War",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",32,2
tt0036579,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",38,2.0,nm0115597,movie,Action in Arabia,0.0,\N,75,Action in Arabia,1944,"Crime,Drama,Romance",Virginia Bruce,1910,1982,"actress,soundtrack,archive_footage","tt0032637,tt0027656,tt0032476,tt0032017",34,4
tt0036636,1.0,nm0000068,Randolph Scott,"tt0026942,tt0056412,tt0046375,tt0051047",46,2.0,nm0497346,movie,Belle of the Yukon,0.0,\N,83,Belle of the Yukon,1944,"Action,Musical,Romance",Gypsy Rose Lee,1911,1970,"actress,writer,soundtrack","tt0036636,tt0028566,tt0036384,tt0029902",33,13
tt0036671,1.0,nm0550701,Alan Marshal,"tt0051744,tt0027657,tt0033858,tt0031455",35,2.0,nm0206478,movie,Bride by Mistake,0.0,\N,81,Bride by Mistake,1944,"Comedy,Drama,Romance",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",24,11
tt0036699,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",43,2.0,nm0942863,movie,Casanova Brown,0.0,\N,94,Casanova Brown,1944,"Comedy,Drama,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",26,17
tt0036748,1.0,nm0000060,Gregory Peck,"tt0056592,tt0038109,tt0077269,tt0046250",28,2.0,nm0869565,movie,Days of Glory,0.0,\N,86,Days of Glory,1944,"Drama,Romance,War",Tamara Toumanova,1919,1996,"actress,soundtrack,archive_footage","tt0061107,tt0066249,tt0036748,tt0046441",25,3
tt0036798,1.0,nm0692439,Eric Portman,"tt0036695,tt0039306,tt0061180,tt0049067",42,2.0,nm0245304,movie,Escape to Danger,0.0,\N,84.0,Escape to Danger,1943,"Action,Romance,Thriller",Ann Dvorak,1911,1979,"actress,miscellaneous,soundtrack","tt0023427,tt0028695,tt0026393,tt0023590",32,10
tt0036807,2.0,nm0107575,George Brent,"tt0031210,tt0024034,tt0031835,tt0040556",40,1.0,nm0001443,movie,Experiment Perilous,0.0,\N,91.0,Experiment Perilous,1944,"Film-Noir,Romance,Thriller",Hedy Lamarr,1914,2000,"actress,producer,miscellaneous","tt0041838,tt0038990,tt0037769,tt0035460",30,10
