tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0033396,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",38,2.0,nm0552756,movie,Birth of the Blues,0.0,\N,87.0,Birth of the Blues,1941,"History,Music,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28,10
tt0033722,1.0,nm0000964,Charles Boyer,"tt0036855,tt0028739,tt0033722,tt0029855",42,2.0,nm0000014,movie,Hold Back the Dawn,0.0,\N,116.0,Hold Back the Dawn,1941,"Drama,Romance",Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",25,17
tt0033804,2.0,nm0000020,Henry Fonda,"tt0050083,tt0082846,tt0032551,tt0051207",36,1.0,nm0001766,movie,The Lady Eve,0.0,\N,94.0,The Lady Eve,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34,2
tt0033834,1.0,nm0178114,Jackie Cooper,"tt0078346,tt0081573,tt0086393,tt0094074",18,2.0,nm0259717,movie,Life with Henry,0.0,\N,80.0,Life with Henry,1940,"Comedy,Family,Romance",Leila Ernst,1920,1970,actress,tt0033834,20,-2
tt0033861,1.0,nm0001651,Basil Rathbone,"tt0029843,tt0035317,tt0036348,tt0032762",48,2.0,nm0237655,movie,The Mad Doctor,0.0,\N,90.0,The Mad Doctor,1940,"Crime,Film-Noir,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,22
tt0033947,1.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",33,2.0,nm0552756,movie,New York Town,0.0,\N,94.0,New York Town,1941,"Comedy,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28,5
tt0034004,1.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",55,2.0,nm0237655,movie,The Parson of Panamint,0.0,\N,84.0,The Parson of Panamint,1941,"Adventure,Romance,Western",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27,28
tt0034086,1.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",36,2.0,nm0237655,movie,Reaching for the Sun,0.0,\N,90.0,Reaching for the Sun,1941,"Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27,9
tt0034182,1.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",34,2.0,nm0275897,movie,The Shepherd of the Hills,0.0,\N,98.0,The Shepherd of the Hills,1941,"Adventure,Drama,Romance",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",25,9
tt0034198,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",34,1.0,nm0001055,movie,Skylark,0.0,\N,92.0,Skylark,1941,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",38,-4
