tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0035282,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",24,3.0,nm0054060,Sagebrush Law,1943,"Drama,Western",Joan Barclay,1914,2002,"actress,archive_footage","tt0028241,tt0140551,tt0028637,tt0038080",29,-5
tt0035502,2.0,nm0185883,James Craig,"tt0033532,tt0035980,tt0039301,tt0035308",30,1.0,nm0000840,Valley of the Sun,1942,"Drama,Western",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31,-1
tt0035655,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",24,3.0,nm0838664,The Avenging Rider,1943,Western,Ann Summers,1919,1974,actress,"tt0236145,tt0068643,tt0058805,tt0041040",24,0
tt0035874,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",24,3.0,nm0838664,Fighting Frontier,1943,Western,Ann Summers,1919,1974,actress,"tt0236145,tt0068643,tt0058805,tt0041040",24,0
tt0036092,2.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",36,1.0,nm0000795,A Lady Takes a Chance,1943,"Comedy,Romance,Western",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",43,-7
tt0036296,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",23,3.0,nm0595627,Red River Robin Hood,1942,"Drama,Western",Barbara Moffett,1924,1986,actress,tt0036296,18,5
tt0036865,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",40,3.0,nm0486387,Girl Rush,1944,"Comedy,Musical,Western",Frances Langford,1913,2005,"actress,music_department,writer","tt0029003,tt0028079,tt0026325,tt0033323",31,9
tt0037124,1.0,nm0000053,Robert Mitchum,"tt0039689,tt0048424,tt0056197,tt0050356",27,2.0,nm0420331,Nevada,1944,"Drama,Western",Anne Jeffreys,1923,2017,"actress,soundtrack,archive_footage","tt0039772,tt0037642,tt0037644,tt0038478",21,6
tt0037343,1.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",37,2.0,nm0707048,Tall in the Saddle,1944,Western,Ella Raines,1920,1988,"actress,soundtrack,archive_footage","tt0036260,tt0041503,tt0036891,tt0037330",24,13
tt0037508,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",44,2.0,nm0949835,Along Came Jones,1945,"Comedy,Romance,Western",Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",32,12
tt0038237,1.0,nm0912861,James Warren,"tt0038237,tt0039271,tt0038479,tt0038996",32,3.0,nm0518879,Wanderer of the Wasteland,1945,Western,Audrey Long,1922,2014,actress,"tt0039211,tt0037970,tt0037130,tt0039313",23,9
tt0038241,1.0,nm0000053,Robert Mitchum,"tt0039689,tt0048424,tt0056197,tt0050356",28,2.0,nm0354853,West of the Pecos,1945,Western,Barbara Hale,1922,2017,"actress,soundtrack,archive_footage","tt0050051,tt0065377,tt0073043,tt0042046",23,5
tt0038321,1.0,nm0000068,Randolph Scott,"tt0026942,tt0056412,tt0046375,tt0051047",48,2.0,nm0723954,Badman's Territory,1946,Western,Ann Richards,1917,2006,"actress,archive_footage","tt0040823,tt0039586,tt0037885,tt0038321",29,19
tt0038996,1.0,nm0912861,James Warren,"tt0038237,tt0039271,tt0038479,tt0038996",33,2.0,nm0504160,Sunset Pass,1946,Western,Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",20,13
tt0039901,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",28,2.0,nm0405054,Thunder Mountain,1947,Western,Martha Hyer,1924,2014,"actress,writer,soundtrack","tt0059740,tt0052218,tt0047437,tt0051745",23,5
tt0039908,1.0,nm0000068,Randolph Scott,"tt0026942,tt0056412,tt0046375,tt0051047",49,3.0,nm0420331,Trail Street,1947,Western,Anne Jeffreys,1923,2017,"actress,soundtrack,archive_footage","tt0039772,tt0037642,tt0037644,tt0038478",24,25
tt0039934,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",28,2.0,nm0504160,Under the Tonto Rim,1947,Western,Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",21,7
tt0040113,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",29,3.0,nm0504160,The Arizona Ranger,1948,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22,7
tt0040175,1.0,nm0000053,Robert Mitchum,"tt0039689,tt0048424,tt0056197,tt0050356",31,2.0,nm0000895,Blood on the Moon,1948,"Drama,Western",Barbara Bel Geddes,1922,2005,"actress,soundtrack,archive_footage","tt0052357,tt0077000,tt0042832,tt0040221",26,5
tt0040369,1.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",41,3.0,nm0000073,Fort Apache,1948,"Drama,Western",Shirley Temple,1928,2014,"actress,writer,miscellaneous","tt0016029,tt0030657,tt0024914,tt0031580",20,21
tt0040409,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",29,3.0,nm0405054,Gun Smugglers,1948,"Drama,Western",Martha Hyer,1924,2014,"actress,writer,soundtrack","tt0059740,tt0052218,tt0047437,tt0051745",24,5
tt0040411,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",29,2.0,nm0504160,Guns of Hate,1948,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22,7
tt0040470,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",29,4.0,nm0504160,Indian Agent,1948,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22,7
tt0040732,1.0,nm0000068,Randolph Scott,"tt0026942,tt0056412,tt0046375,tt0051047",50,3.0,nm0420331,Return of the Bad Men,1948,Western,Anne Jeffreys,1923,2017,"actress,soundtrack,archive_footage","tt0039772,tt0037642,tt0037644,tt0038478",25,25
tt0040835,1.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",44,2.0,nm0339452,Station West,1948,Western,Jane Greer,1924,2001,"actress,soundtrack,archive_footage","tt0039689,tt0041178,tt0045053,tt0040835",24,20
tt0040956,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",29,2.0,nm0504160,Western Heritage,1948,Western,Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22,7
tt0041642,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",30,3.0,nm0520467,Masked Raiders,1949,Western,Marjorie Lord,1918,2015,"actress,soundtrack,archive_footage","tt0045410,tt0028998,tt0035611,tt0042323",31,-1
tt0041675,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",30,4.0,nm0610230,The Mysterious Desperado,1949,"Drama,Western",Movita,1916,2015,"actress,soundtrack,archive_footage","tt0031371,tt0026752,tt0027420,tt0040369",33,-3
tt0041832,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",30,3.0,nm0405054,Rustlers,1949,Western,Martha Hyer,1924,2014,"actress,writer,soundtrack","tt0059740,tt0052218,tt0047437,tt0051745",25,5
tt0041866,1.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",42,2.0,nm0238445,She Wore a Yellow Ribbon,1949,Western,Joanne Dru,1922,1996,"actress,soundtrack,archive_footage","tt0040724,tt0041113,tt0042176,tt0041866",27,15
tt0041915,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",30,3.0,nm0232655,Stagecoach Kid,1949,Western,Jeff Donnell,1921,1988,"actress,archive_footage","tt0042593,tt0051036,tt0042251,tt0066473",28,2
tt0179533,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",28,2.0,nm0504160,Wild Horse Mesa,1947,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",21,7
