tconst,ordering,nconst,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0039934,2.0,nm0504160,Under the Tonto Rim,1947,Western,Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",21
tt0040113,3.0,nm0504160,The Arizona Ranger,1948,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22
tt0040175,2.0,nm0000895,Blood on the Moon,1948,"Drama,Western",Barbara Bel Geddes,1922,2005,"actress,soundtrack,archive_footage","tt0052357,tt0077000,tt0042832,tt0040221",26
tt0040369,3.0,nm0000073,Fort Apache,1948,"Drama,Western",Shirley Temple,1928,2014,"actress,writer,miscellaneous","tt0016029,tt0030657,tt0024914,tt0031580",20
tt0040409,3.0,nm0405054,Gun Smugglers,1948,"Drama,Western",Martha Hyer,1924,2014,"actress,writer,soundtrack","tt0059740,tt0052218,tt0047437,tt0051745",24
tt0040411,2.0,nm0504160,Guns of Hate,1948,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22
tt0040470,4.0,nm0504160,Indian Agent,1948,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22
tt0040732,3.0,nm0420331,Return of the Bad Men,1948,Western,Anne Jeffreys,1923,2017,"actress,soundtrack,archive_footage","tt0039772,tt0037642,tt0037644,tt0038478",25
tt0040835,2.0,nm0339452,Station West,1948,Western,Jane Greer,1924,2001,"actress,soundtrack,archive_footage","tt0039689,tt0041178,tt0045053,tt0040835",24
tt0040956,2.0,nm0504160,Western Heritage,1948,Western,Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",22
tt0041642,3.0,nm0520467,Masked Raiders,1949,Western,Marjorie Lord,1918,2015,"actress,soundtrack,archive_footage","tt0045410,tt0028998,tt0035611,tt0042323",31
tt0041675,4.0,nm0610230,The Mysterious Desperado,1949,"Drama,Western",Movita,1916,2015,"actress,soundtrack,archive_footage","tt0031371,tt0026752,tt0027420,tt0040369",33
tt0041832,3.0,nm0405054,Rustlers,1949,Western,Martha Hyer,1924,2014,"actress,writer,soundtrack","tt0059740,tt0052218,tt0047437,tt0051745",25
tt0041866,2.0,nm0238445,She Wore a Yellow Ribbon,1949,Western,Joanne Dru,1922,1996,"actress,soundtrack,archive_footage","tt0040724,tt0041113,tt0042176,tt0041866",27
tt0041915,3.0,nm0232655,Stagecoach Kid,1949,Western,Jeff Donnell,1921,1988,"actress,archive_footage","tt0042593,tt0051036,tt0042251,tt0066473",28
tt0179533,2.0,nm0504160,Wild Horse Mesa,1947,"Drama,Western",Nan Leslie,1926,2000,"actress,stunts,soundtrack","tt0047748,tt0038996,tt0040956,tt0053742",21
