tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0038021,1.0,nm0131713,Rod Cameron,"tt0038894,tt0035913,tt0038046,tt0037398",35,4.0,nm0392450,movie,Renegades of the Rio Grande,0.0,\N,57.0,movie,Renegades of the Rio Grande,Renegades of the Rio Grande,0,1945,\N,57,Western,Jennifer Holt,1920,1997,"actress,soundtrack,archive_footage","tt0039227,tt0039380,tt0037940,tt0037757",25,10
tt0038036,1.0,nm0141330,Sunset Carson,"tt0038050,tt0037961,tt0038294,tt0036689",25,2.0,nm0829725,movie,Rough Riders of Cheyenne,0.0,\N,56.0,movie,Rough Riders of Cheyenne,Rough Riders of Cheyenne,0,1945,\N,56,"Drama,Western",Peggy Stewart,1923,2019,"actress,soundtrack,archive_footage","tt1017451,tt1232200,tt0037961,tt0038838",22,3
tt0038039,1.0,nm0230948,George Dolenz,"tt0046280,tt0044937,tt0047162,tt0047490",37,3.0,nm0447985,movie,The Royal Mounted Rides Again,0.0,\N,221.0,movie,The Royal Mounted Rides Again,The Royal Mounted Rides Again,0,1945,\N,221,"Action,Western",Daun Kennedy,1922,2002,"actress,soundtrack","tt0038039,tt0038967,tt0038046,tt0038378",23,14
tt0038041,1.0,nm0823633,Charles Starrett,"tt0023194,tt0038467,tt0038527,tt0037218",42,5.0,nm0050073,movie,Rustlers of the Badlands,0.0,\N,55.0,movie,Rustlers of the Badlands,Rustlers of the Badlands,0,1945,\N,55,"Drama,Western",Carla Balenda,1925,\N,"actress,archive_footage","tt0046208,tt0044209,tt0046625,tt0045006",20,22
tt0038048,1.0,nm0001224,Errol Flynn,"tt0029843,tt0040076,tt0026174,tt0041955",36,2.0,nm0807252,movie,San Antonio,0.0,\N,109.0,movie,San Antonio,San Antonio,0,1945,\N,109,Western,Alexis Smith,1921,1993,"actress,soundtrack,archive_footage","tt0106226,tt0035751,tt0037611,tt0034778",24,12
tt0038050,1.0,nm0141330,Sunset Carson,"tt0038050,tt0037961,tt0038294,tt0036689",25,2.0,nm0830549,movie,Santa Fe Saddlemates,0.0,\N,58.0,movie,Santa Fe Saddlemates,Santa Fe Saddlemates,0,1945,\N,58,"Drama,Western",Linda Stirling,1921,1997,"actress,archive_footage","tt0037895,tt0039511,tt0038644,tt0038007",24,1
tt0038053,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",44,2.0,nm0000006,movie,Saratoga Trunk,0.0,\N,135.0,movie,Saratoga Trunk,Saratoga Trunk,0,1945,\N,135,"Drama,Romance,Western",Ingrid Bergman,1915,1982,"actress,producer,soundtrack","tt0034583,tt0036855,tt0038109,tt0038787",30,14
tt0038069,1.0,nm0427452,Allan Jones,"tt0026778,tt0028249,tt0030108,tt0093818",38,2.0,nm0335748,movie,Senorita from the West,0.0,\N,63.0,movie,Senorita from the West,Senorita from the West,0,1945,\N,63,"Comedy,Music,Western",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",22,16
tt0038078,1.0,nm0185568,Buster Crabbe,"tt0032290,tt0037115,tt0025755,tt0027623",37,3.0,nm0206309,movie,Shadows of Death,0.0,\N,59.0,movie,Shadows of Death,Shadows of Death,0,1945,\N,59,Western,Dona Dax,1912,1995,actress,"tt0037599,tt0038078",33,4
tt0038085,1.0,nm0141330,Sunset Carson,"tt0038050,tt0037961,tt0038294,tt0036689",25,2.0,nm0830549,movie,Sheriff of Cimarron,0.0,\N,56.0,movie,Sheriff of Cimarron,Sheriff of Cimarron,0,1945,\N,56,Western,Linda Stirling,1921,1997,"actress,archive_footage","tt0037895,tt0039511,tt0038644,tt0038007",24,1
tt0038090,2.0,nm0878927,Tom Tyler,"tt0031971,tt0033317,tt0023080,tt0021249",42,1.0,nm0485537,movie,Sing Me a Song of Texas,0.0,\N,66.0,movie,Sing Me a Song of Texas,Sing Me a Song of Texas,0,1945,\N,66,"Comedy,Music,Western",Rosemary Lane,1913,1974,"actress,soundtrack","tt0032198,tt0035625,tt0035972,tt0030149",32,10
tt0038101,1.0,nm0212761,Eddie Dean,"tt0039751,tt0039108,tt0038495,tt0038422",38,2.0,nm0392450,movie,Song of Old Wyoming,0.0,\N,65.0,movie,Song of Old Wyoming,Song of Old Wyoming,0,1945,\N,65,Western,Jennifer Holt,1920,1997,"actress,soundtrack,archive_footage","tt0039227,tt0039380,tt0037940,tt0037757",25,13
