tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt6227710,movie,Voice of Freedom,Voice of Freedom,0,1946,\N,\N,"Action,Drama,War"
tt6227928,movie,Intramuros: The Rape of a City,Intramuros: The Rape of a City,0,1946,\N,\N,"Action,Drama,War"
tt6240054,movie,Anak ng Kulafu,Anak ng Kulafu,0,1947,\N,\N,"Action,Adventure"
tt6343052,movie,Kessen no ôzora e,Kessen no ôzora e,0,1943,\N,89,"Action,Adventure,War"
tt6347808,movie,Ikari no umi,Ikari no umi,0,1944,\N,88,"Action,War"
tt6672496,movie,Tengkorak Hidoep,Tengkorak Hidoep,0,1941,\N,\N,"Action,Adventure,Horror"
tt6913784,movie,White Face,White Face,0,1948,\N,\N,Action
tt6954038,movie,Phantom Castle Part 1,Phantom Castle,0,1940,\N,\N,"Action,Adventure,Fantasy"
tt7027262,movie,Kismetwali,Kismetwali,0,1947,\N,\N,Action
tt7027488,movie,Bhedi Dushman,Bhedi Dushman,0,1946,\N,\N,Action
tt7027632,movie,Naqli Baap,Naqli Baap,0,1949,\N,\N,Action
tt7033852,movie,Air Mail,Air Mail,0,1946,\N,\N,Action
tt7033876,movie,Silver Queen,Silver Queen,0,1946,\N,\N,Action
tt7061658,movie,Tilasmi Duniya,Tilasmi Duniya,0,1946,\N,\N,Action
tt7064960,movie,Hai Jani,Hai Jani,0,1946,\N,\N,Action
tt7065016,movie,Hasrat,Hasrat,0,1946,\N,\N,Action
tt8134018,movie,Billi,Billi,0,1949,\N,\N,Action
tt8253846,movie,Speed Queen,Speed Queen,0,1947,\N,\N,Action
tt8338650,movie,Jûsan no me,Jûsan no me,0,1947,\N,76,"Action,Crime"
tt8423280,movie,Sandai no sakazuki,Sandai no sakazuki,0,1943,\N,\N,"Action,Crime"
tt8539838,movie,Golibar,Golibar,0,1940,\N,\N,Action
tt8609776,movie,Flying Man,Flying Man,0,1947,\N,\N,Action
tt9476466,movie,Hero,Hero,0,1944,\N,\N,Action
tt9476704,movie,Aurangzeb,Aurangzeb,0,1945,\N,\N,Action
