tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0149739,movie,Avalanche,Avalanche,0,1951,\N,75,Drama
tt0149741,movie,Les aventuriers de l'air,Les aventuriers de l'air,0,1950,\N,83,"Adventure,Drama"
tt0149742,movie,Adventures in Indochina,Les aventuriers du Mékong,0,1958,\N,100,Adventure
tt0149743,movie,L'aventurière des Champs-Élysées,L'aventurière des Champs-Élysées,0,1957,\N,80,Crime
tt0149744,movie,L'aventurière du Tchad,L'aventurière du Tchad,0,1953,\N,90,Drama
tt0149751,movie,Azad,Azad,0,1940,\N,140,Drama
tt0149753,movie,Babla,Babla,0,1951,\N,\N,Drama
tt0149773,movie,Badi Maa,Badi Maa,0,1945,\N,122,"Drama,War"
tt0149777,movie,Night Dance Hall,Bal de nuit,0,1959,\N,90,Drama
tt0149783,movie,Banco de Prince,Banco de Prince,0,1950,\N,85,Adventure
tt0149784,movie,Bandhan,Bandhan,0,1940,\N,154,"Drama,Family"
tt0149788,movie,Baratin,Baratin,0,1956,\N,85,Musical
tt0149802,movie,Baron Munchhausen,Baron Práshil,0,1940,\N,99,Comedy
tt0149804,movie,Barrier of the Law,La barriera della legge,0,1954,\N,81,"Crime,Drama"
tt0149836,movie,Beautiful Love,Bel amour,0,1951,\N,97,"Drama,Romance"
tt0149838,movie,The Beautiful Image,La belle image,0,1951,\N,90,Drama
tt0149839,movie,Wonderful Mentality,Belle mentalité,0,1953,\N,90,Comedy
tt0149845,movie,The Crew of the Dora,Besatzung Dora,0,1943,\N,91,"Drama,History,War"
tt0149877,movie,Bille de clown,Bille de clown,0,1952,\N,92,Comedy
tt0149905,movie,La blonde des tropiques,La blonde des tropiques,0,1957,\N,90,\N
tt0149912,movie,Bobosse,Bobosse,0,1959,\N,88,"Comedy,Drama"
tt0149914,movie,Boldoggá teszlek,Boldoggá teszlek,0,1944,\N,80,Drama
tt0149923,movie,Hi Doc,Bonjour Toubib,0,1957,\N,95,Comedy
tt0149924,movie,Bonjour jeunesse,Bonjour jeunesse,0,1957,\N,90,Drama
tt0149938,movie,Boulevard du crime,Boulevard du crime,0,1955,\N,92,\N
tt0149941,movie,Bouquet de joie,Bouquet de joie,0,1951,\N,88,"Comedy,Musical"
tt0149946,movie,Boy Partisans,So nyun bbal jjin san,0,1951,\N,97,"Drama,War"
tt0149951,movie,"Bravo, kleiner Thomas","Bravo, kleiner Thomas",0,1945,\N,70,\N
tt0150008,movie,May Events,Bylo to v máji,0,1951,\N,88,Comedy
tt0150010,movie,Bécassine,Bécassine,0,1940,\N,93,Comedy
tt0150037,movie,Capek's Tales,Capkovy povidky,0,1947,\N,106,"Crime,Drama"
tt0150079,movie,Majestic Hotel Cellars,Les caves du Majestic,0,1945,\N,100,"Crime,Drama"
tt0150168,movie,Columbia Laff Hour,Columbia Laff Hour,0,1956,\N,90,Comedy
tt0150252,movie,Daak Harkara,Daak Harkara,0,1958,\N,\N,Drama
tt0150269,movie,Danka,Danka,0,1954,\N,\N,Drama
tt0150283,movie,Dceruska k pohledáni,Dceruska k pohledáni,0,1940,\N,74,Comedy
tt0150301,movie,Demobbed,Demobbed,0,1944,\N,96,Comedy
tt0150316,movie,Devushka s gitaroy,Devushka s gitaroy,0,1958,\N,93,"Comedy,Musical"
tt0150318,movie,Dharma Bandhan,Dharma Bandhan,0,1940,\N,\N,\N
tt0150320,movie,Dhola Maru,Dhola Maru,0,1956,\N,\N,\N
tt0150341,movie,The Magical Hat,Divotvorný klobouk,0,1953,\N,77,"Comedy,Music,Musical"
tt0150367,movie,Le dolmen tragique,Le dolmen tragique,0,1948,\N,\N,"Crime,Mystery"
tt0150422,movie,Dupatta,Dupatta,0,1952,\N,\N,Musical
tt0150447,movie,Ek Raat,Ek Raat,0,1942,\N,\N,Drama
tt0150475,movie,Der Erbförster,Der Erbförster,0,1945,\N,\N,\N
tt0150485,movie,Espoirs...,Espoirs...,0,1941,\N,92,"Comedy,Drama"
tt0150580,movie,The Flamingo Affair,The Flamingo Affair,0,1948,\N,58,"Crime,Drama"
tt0150610,movie,For You Alone,For You Alone,0,1945,\N,105,Musical
tt0150639,movie,Das fremde Leben,Das fremde Leben,0,1951,\N,88,Drama
tt0150677,movie,Gabriela,Gabriela,0,1942,\N,80,Drama
tt0150688,movie,Die ganze Welt singt nur Amore,Die ganze Welt singt nur Amore,0,1956,\N,96,"Comedy,Music"
tt0150771,movie,El gran Makakikus,El gran Makakikus,0,1944,\N,\N,"Comedy,Drama"
tt0150808,movie,Mirage,Hägringen,0,1959,\N,82,Drama
tt0150848,movie,Haseena,Haseena,0,1955,\N,\N,\N
tt0150867,movie,Headmaster,Headmaster,0,1959,\N,83,Drama
tt0150874,movie,Heaven Is Round the Corner,Heaven Is Round the Corner,0,1944,\N,103,Musical
tt0150900,movie,Das Herz muß schweigen,Das Herz muß schweigen,0,1944,\N,92,Drama
tt0150969,movie,The Blue Star Hotel,Hotel Modrá hvezda,0,1941,\N,89,"Comedy,Romance"
tt0151008,movie,I Only Arsked!,I Only Arsked!,0,1958,\N,82,Comedy
tt0151028,movie,The Idol,L'idole,0,1948,\N,90,Drama
tt0151066,movie,Inspector Sergil,Inspecteur Sergil,0,1947,\N,95,"Crime,Drama,Mystery"
tt0151097,movie,Jan Cimbura,Jan Cimbura,0,1941,\N,82,Drama
tt0151098,movie,Warriors of Faith,Jan Rohác z Dubé,0,1947,\N,112,"Drama,War"
tt0151117,movie,I Am with You,Je suis avec toi,0,1943,\N,95,Romance
tt0151155,movie,El jugador,El jugador,0,1947,\N,\N,\N
tt0151156,movie,Jugnu,Jugnu,0,1947,\N,\N,"Drama,Musical,Romance"
tt0151168,movie,Jwar Bhata,Jwar Bhata,0,1944,\N,120,"Drama,Romance"
tt0151191,movie,Catacombs,Katakomby,0,1940,\N,80,Comedy
tt0151200,movie,Khandaan,Khandaan,0,1942,\N,171,"Drama,Family"
tt0151241,movie,Konec strasidel,Konec strasidel,0,1953,\N,80,Family
tt0151242,movie,Konecne sami,Konecne sami,0,1940,\N,\N,Comedy
tt0151244,movie,Das Konzert,Das Konzert,0,1944,\N,87,Comedy
tt0151273,movie,König der Manege,König der Manege,0,1954,\N,97,Comedy
tt0151282,movie,Ladli,Ladli,0,1949,\N,\N,"Drama,Family,Romance"
tt0151283,movie,Lagna Mandap,Lagna Mandap,0,1950,\N,\N,\N
tt0151287,movie,Lajawab,Lajawab,0,1950,\N,\N,Drama
tt0151288,movie,Lalu Bhulu,Lalu Bhulu,0,1959,\N,\N,Drama
tt0151401,movie,Love the Future,Love the Future,0,1959,\N,\N,Biography
tt0151423,movie,Just Me,Ma pomme,0,1950,\N,102,"Comedy,Musical"
tt0151477,movie,Man Ki Jeet,Man Ki Jeet,0,1944,\N,\N,"Drama,Romance"
tt0151523,movie,Meerabai,Meerabai,0,1947,\N,\N,\N
tt0151530,movie,Mein Traum,Mein Traum,0,1940,\N,70,"Comedy,Romance"
tt0151547,movie,The Metro-Goldwyn-Mayer Story,The Metro-Goldwyn-Mayer Story,0,1951,\N,60,Documentary
tt0151548,movie,Out of Evil,Mi Klalah L'Brahah,0,1950,\N,120,Drama
