tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0032674,1.0,nm0370797,Russell Hayden,"tt0029505,tt0030812,tt0033160,tt0032674",28,3.0,nm0662335,movie,Knights of the Range,0.0,\N,70,Knights of the Range,1940,"Action,Music,Romance",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",25
tt0032706,1.0,nm0430460,Victor Jory,"tt0031381,tt0056241,tt0031839,tt0032557",38,2.0,nm0768471,movie,The Light of Western Stars,0.0,\N,64,The Light of Western Stars,1940,"Drama,Western",Jo Ann Sayers,1918,2011,actress,"tt0032753,tt0032706,tt0031442,tt0032135",22
tt0032730,1.0,nm0000912,Jack Benny,"tt0042116,tt0035446,tt0033457,tt0034780",46,3.0,nm0552756,movie,Love Thy Neighbor,0.0,\N,82,Love Thy Neighbor,1940,"Comedy,Musical",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",27
tt0032809,2.0,nm0696481,Robert Preston,"tt0056262,tt0084865,tt0087597,tt0083015",22,1.0,nm0483787,movie,Moon Over Burma,0.0,\N,76,Moon Over Burma,1940,"Adventure,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26
tt0032834,2.0,nm0928295,Henry Wilcoxon,"tt0049833,tt0080487,tt0035093,tt0045125",35,1.0,nm0484808,movie,Mystery Sea Raider,0.0,\N,73,Mystery Sea Raider,1940,"Drama,War",Carole Landis,1919,1948,"actress,writer,soundtrack","tt0033740,tt0038908,tt0034303,tt0034115",21
tt0032843,1.0,nm0615108,Ken Murray,"tt0056217,tt0032843,tt0060420,tt0039188",37,2.0,nm0387556,movie,A Night at Earl Carroll's,0.0,\N,62,A Night at Earl Carroll's,1940,"Comedy,Crime,Musical",Rose Hobart,1906,2000,"actress,soundtrack,archive_footage","tt0022835,tt0037611,tt0021074,tt0033747",34
tt0032850,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",39,2.0,nm0140914,movie,North West Mounted Police,0.0,\N,126,North West Mounted Police,1940,"Drama,Romance,Western",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",34
tt0032876,1.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",54,2.0,nm0517578,movie,Opened by Mistake,0.0,\N,67,Opened by Mistake,1940,"Comedy,Crime,Mystery",Janice Logan,1915,1965,actress,"tt0032412,tt0032876,tt0221249,tt0032077",25
tt0032890,1.0,nm0378026,William Henry,"tt0025878,tt0032009,tt0032890,tt0038644",26,2.0,nm0197713,movie,Parole Fixer,0.0,\N,68,Parole Fixer,1940,"Action,Crime,Drama",Virginia Dale,1917,1994,"actress,soundtrack,archive_footage","tt0034862,tt0031221,tt0031031,tt0040296",23
tt0032957,1.0,nm0606998,Wayne Morris,"tt0050825,tt0034204,tt0041486,tt0029080",26,3.0,nm0197713,movie,The Quarterback,0.0,\N,74,The Quarterback,1940,Comedy,Virginia Dale,1917,1994,"actress,soundtrack,archive_footage","tt0034862,tt0031221,tt0031031,tt0040296",23
tt0032958,1.0,nm0000897,Ralph Bellamy,"tt0034398,tt0032599,tt0086465,tt0028597",36,2.0,nm0951063,movie,Queen of the Mob,0.0,\N,61,Queen of the Mob,1940,"Crime,Drama",Blanche Yurka,1887,1974,"actress,archive_footage","tt0027075,tt0036377,tt0036731,tt0036672",53
tt0032973,1.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",32,4.0,nm0605685,movie,Rangers of Fortune,0.0,\N,80,Rangers of Fortune,1940,Western,Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",25
tt0032986,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",37,2.0,nm0552756,movie,Rhythm on the River,0.0,\N,92.0,Rhythm on the River,1940,"Comedy,Musical",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",27
tt0032993,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",37,3.0,nm0483787,movie,Road to Singapore,0.0,\N,85.0,Road to Singapore,1940,"Comedy,Musical,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26
tt0033009,1.0,nm0001195,Douglas Fairbanks Jr.,"tt0021079,tt0024962,tt0041363,tt0029442",31,2.0,nm0140914,movie,Safari,0.0,\N,80.0,Safari,1940,"Adventure,Drama,Romance",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",34
tt0033020,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",45,3.0,nm0708081,movie,Santa Fe Marshal,0.0,\N,68.0,Santa Fe Marshal,1940,Western,Marjorie Rambeau,1889,1970,"actress,soundtrack,archive_footage","tt0032946,tt0033187,tt0034297,tt0026282",51
tt0033029,1.0,nm0000001,Fred Astaire,"tt0072308,tt0050419,tt0053137,tt0027125",41,2.0,nm0002104,movie,Second Chorus,0.0,\N,84.0,Second Chorus,1940,"Comedy,Musical,Romance",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",30
tt0033039,1.0,nm0178114,Jackie Cooper,"tt0078346,tt0081573,tt0086393,tt0094074",18,2.0,nm0275897,movie,Seventeen,0.0,\N,78.0,Seventeen,1940,"Comedy,Drama",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",24
tt0033047,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",45,5.0,nm0165715,movie,The Showdown,0.0,\N,65.0,The Showdown,1940,"Drama,Western",Jan Clayton,1917,1983,"actress,soundtrack,archive_footage","tt0046617,tt0038163,tt0032476,tt1478608",23
tt0033099,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",45,3.0,nm0141741,movie,Stagecoach War,0.0,\N,63,Stagecoach War,1940,"Drama,Western",Julie Carter,1913,1991,"actress,archive_footage","tt0020320,tt0032276,tt0033099",27
tt0033140,2.0,nm0397397,John Howard,"tt0032904,tt0029162,tt0028667,tt0029952",27,1.0,nm0237655,movie,Texas Rangers Ride Again,0.0,\N,68,Texas Rangers Ride Again,1940,"Drama,Western",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033155,1.0,nm0000034,William Holden,"tt0046359,tt0047437,tt0043014,tt0074958",22,2.0,nm0335748,movie,Those Were the Days!,0.0,\N,74.0,Those Were the Days!,1940,"Comedy,Romance",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",17
tt0033160,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",45,7.0,nm0261890,movie,Three Men from Texas,0.0,\N,76.0,Three Men from Texas,1940,Western,Esther Estrella,1919,2005,actress,"tt0032706,tt0033160,tt0035487,tt0034057",21
tt0033196,2.0,nm0696481,Robert Preston,"tt0056262,tt0084865,tt0087597,tt0083015",22,1.0,nm0483787,movie,Typhoon,0.0,\N,70.0,Typhoon,1940,"Adventure,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26
tt0033208,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,2.0,nm0605685,movie,Untamed,0.0,\N,83.0,Untamed,1940,"Adventure,Drama,Romance",Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",25
tt0033220,1.0,nm0545298,Fredric March,"tt0036868,tt0053946,tt0022835,tt0058576",43,2.0,nm0275897,movie,Victory,0.0,\N,79,Victory,1940,"Adventure,Drama",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",24
tt0033244,1.0,nm0848667,Akim Tamiroff,"tt0052311,tt0035896,tt0058898,tt0057427",41,2.0,nm0313438,movie,The Way of All Flesh,0.0,\N,86,The Way of All Flesh,1940,"Crime,Drama,Romance",Gladys George,1900,1954,"actress,soundtrack,archive_footage","tt0031867,tt0033870,tt0036868,tt0043625",40
