tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0032703,1.0,nm0948714,Jeff York,"tt0038854,tt0050567,tt0052441,tt0039372",28,2.0,nm0640930,Li'l Abner,1940,"Comedy,Romance",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",18
tt0032717,2.0,nm0642988,Jack Oakie,"tt0032553,tt0023225,tt0023302,tt0029845",37,1.0,nm0290215,Little Men,1940,"Comedy,Drama",Kay Francis,1905,1968,"actress,producer,writer","tt0025461,tt0023622,tt0028579,tt0021281",35
tt0032720,1.0,nm0790788,Johnny Sheffield,"tt0035419,tt0039887,tt0038151,tt0036414",9,3.0,nm0871676,Little Orvie,1940,"Comedy,Drama",Dorothy Tree,1906,1992,"actress,archive_footage","tt0042208,tt0036699,tt0025443,tt0032181",34
tt0032733,1.0,nm0172903,Ronald Colman,"tt0039335,tt0035238,tt0019735,tt0029162",49,2.0,nm0001677,Lucky Partners,1940,"Comedy,Drama,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",29
tt0032761,1.0,nm0228715,Richard Dix,"tt0021746,tt0015117,tt0016439,tt0016345",47,3.0,nm0000840,The Marines Fly High,1940,"Action,Adventure,Drama",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29
tt0032764,1.0,nm0550701,Alan Marshal,"tt0051744,tt0027657,tt0033858,tt0031455",31,2.0,nm0899091,Married and in Love,1940,"Drama,Romance",Helen Vinson,1907,1999,actress,"tt0023042,tt0024210,tt0033175,tt0033963",33
tt0032781,1.0,nm0228715,Richard Dix,"tt0021746,tt0015117,tt0016439,tt0016345",47,4.0,nm0057412,Men Against the Sky,1940,"Action,Adventure,Drama",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28
tt0032786,2.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",59,1.0,nm0892473,Mexican Spitfire Out West,1940,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",32
tt0032795,1.0,nm0672101,Joe Penner,"tt0024993,tt0029303,tt0029145,tt0030188",36,2.0,nm0371123,Millionaire Playboy,1940,"Comedy,Romance",Linda Hayes,1918,1995,"actress,soundtrack,archive_footage","tt0031370,tt0032622,tt0031641,tt2381111",22
tt0032796,1.0,nm0870543,Lee Tracy,"tt0024704,tt0057883,tt0023948,tt0023825",42,2.0,nm0371123,Millionaires in Prison,1940,"Crime,Drama",Linda Hayes,1918,1995,"actress,soundtrack,archive_footage","tt0031370,tt0032622,tt0031641,tt2381111",22
tt0032847,2.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",28,1.0,nm0623554,"No, No, Nanette",1940,"Comedy,Drama,Musical",Anna Neagle,1904,1986,"actress,producer,soundtrack","tt0039281,tt0043871,tt0029734,tt0032847",36
tt0032869,2.0,nm0351744,William Haade,"tt0040506,tt0029080,tt0037986,tt0038764",37,1.0,nm0786538,One Crowded Night,1940,Drama,Billie Seward,1912,1982,"actress,archive_footage","tt0026047,tt0026701,tt0032869,tt0024897",28
tt0032910,1.0,nm0427934,Dickie Jones,"tt2395427,tt0026163,tt0026636,tt0027200",13,15.0,nm0201428,Pinocchio,1940,"Adventure,Animation,Comedy",Marion Darlington,1910,1991,"actress,soundtrack","tt0042332,tt0021665,tt0024451,tt0024440",30
tt0032916,2.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",31,1.0,nm0290215,Play Girl,1941,"Comedy,Romance",Kay Francis,1905,1968,"actress,producer,writer","tt0025461,tt0023622,tt0028579,tt0021281",36
tt0032925,1.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",59,3.0,nm0086680,Pop Always Pays,1940,Comedy,Pamela Blake,1915,2009,"actress,soundtrack,archive_footage","tt0035432,tt0039782,tt0042532,tt0031371",25
tt0032939,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Prairie Law,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20
tt0032946,2.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",35,1.0,nm0001677,Primrose Path,1940,"Drama,Mystery,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",29
tt0032980,1.0,nm0380965,Jean Hersholt,"tt0015881,tt0018451,tt0028988,tt0023194",54,2.0,nm0522662,Remedy for Riches,1940,"Comedy,Romance",Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25
tt0033013,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",34,3.0,nm0057412,The Saint Takes Over,1940,"Crime,Mystery",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28
tt0033014,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",34,3.0,nm0721748,The Saint's Double Trouble,1940,"Action,Crime,Drama",Helene Reynolds,1914,1990,actress,"tt0035979,tt0031455,tt0035272,tt0035027",26
tt0033098,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Stage to Chino,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20
tt0033107,1.0,nm0000048,Peter Lorre,"tt0022100,tt0036613,tt0034583,tt0033870",36,3.0,nm0848172,Stranger on the Third Floor,1940,"Crime,Drama,Film-Noir",Margaret Tallichet,1914,1991,"actress,archive_footage","tt0033107,tt0030052,tt0033766,tt0030184",26
tt0033124,1.0,nm0593775,Thomas Mitchell,"tt0031971,tt0031381,tt0038650,tt0031679",48,2.0,nm0078923,Swiss Family Robinson,1940,"Adventure,Family",Edna Best,1900,1974,"actress,archive_footage","tt0039420,tt0025452,tt0039556,tt0031491",40
tt0033150,2.0,nm0001452,Charles Laughton,"tt0051201,tt0026752,tt0054331,tt0026955",41,1.0,nm0001479,They Knew What They Wanted,1940,"Drama,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",32
tt0033169,1.0,nm0362567,Cedric Hardwicke,"tt0049833,tt0046534,tt0048960,tt0040746",47,4.0,nm0404360,Tom Brown's School Days,1940,Drama,Josephine Hutchinson,1903,1998,"actress,soundtrack,archive_footage","tt0053125,tt0031951,tt0025219,tt0026934",37
tt0033173,2.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",28,1.0,nm0000840,Too Many Girls,1940,"Comedy,Music,Sport",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29
tt0033185,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Triple Justice,1940,"Romance,Western",Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20
tt0033221,3.0,nm0000731,Brian Aherne,"tt0030442,tt0036203,tt0057547,tt0027067",38,1.0,nm0001479,Vigil in the Night,1940,"Drama,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",32
tt0033224,1.0,nm0001890,Hugh Herbert,"tt0033397,tt0020953,tt0030202,tt0029541",56,2.0,nm0521937,The Villain Still Pursued Her,1940,Comedy,Anita Louise,1915,1970,"actress,soundtrack,archive_footage","tt0031580,tt0037698,tt0021465,tt0034021",25
tt0033234,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",21,4.0,nm0640930,Wagon Train,1940,"Drama,Western",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",18
tt0033265,2.0,nm0485704,Charles Lang,"tt0033945,tt0045604,tt0040645,tt0048331",25,1.0,nm0942039,Wildcat Bus,1940,"Action,Crime,Drama",Fay Wray,1907,2004,"actress,writer,camera_department","tt0024216,tt0023238,tt0022827,tt0024368",33
tt0033279,3.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",30,1.0,nm0000840,You Can't Fool Your Wife,1940,"Comedy,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29
tt0033283,1.0,nm0477517,Kay Kyser,"tt0033283,tt0032015,tt0034033,tt0119558",35,5.0,nm0663540,You'll Find Out,1940,"Comedy,Crime,Horror",Helen Parrish,1923,1959,"actress,soundtrack,archive_footage","tt0032030,tt0036189,tt0035428,tt0035738",17
tt0033332,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",22,3.0,nm0722384,Along the Rio Grande,1941,"Drama,Music,Western",Betty Jane Rhodes,1921,2011,"actress,soundtrack,archive_footage","tt0037475,tt0036327,tt0035216,tt0029145",20
tt0033373,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",40,2.0,nm0001766,Ball of Fire,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34
tt0033375,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",22,3.0,nm0907228,The Bandit Trail,1941,"Drama,Music,Western",Janet Waldo,1919,2016,"actress,soundtrack,archive_footage","tt0055683,tt0070544,tt0173587,tt0083481",22
tt0033379,1.0,nm0490713,Chester Lauck,"tt0035480,tt0033379,tt0049454,tt0032417",40,3.0,nm0686032,The Bashful Bachelor,1942,Comedy,Zasu Pitts,1894,1963,"actress,soundtrack,archive_footage","tt0015881,tt0057193,tt0026955,tt0032847",48
tt0033401,1.0,nm0452128,Guy Kibbee,"tt0031679,tt0027421,tt0026174,tt0023369",59,2.0,nm0242562,Scattergood Meets Broadway,1941,"Comedy,Drama",Emma Dunn,1874,1966,"actress,soundtrack,archive_footage","tt0031951,tt0026978,tt0032553,tt0040974",67
