tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0051437,movie,Buchanan Rides Alone,Buchanan Rides Alone,0,1958,\N,80,"Drama,Western"
tt0051438,movie,Bullwhip,Bullwhip,0,1958,\N,80,"Crime,Drama,Romance"
tt0051439,movie,Madame White Snake,Byaku fujin no yôren,0,1956,\N,103,"Fantasy,Romance"
tt0051440,movie,Stage Free for Marika,Bühne frei für Marika,0,1958,\N,93,"Comedy,Musical"
tt0051441,movie,Café Colón,Café Colón,0,1959,\N,85,"Adventure,Drama,Romance"
tt0051442,movie,Malinconico autunno,Malinconico autunno,0,1958,\N,91,"Crime,Drama"
tt0051443,movie,Calypso,Calypso,0,1958,\N,95,"Drama,Musical,Romance"
tt0051444,movie,The Camp on Blood Island,The Camp on Blood Island,0,1958,\N,81,"Action,Drama,History"
tt0051446,movie,Canto para ti,Canto para ti,0,1959,\N,93,"Comedy,Drama,Musical"
tt0051447,movie,Caporale di giornata,Caporale di giornata,0,1958,\N,88,Comedy
tt0051448,movie,Die Sklavenkarawane,Die Sklavenkarawane,0,1958,\N,99,Adventure
tt0051449,movie,Carlota,Carlota,0,1958,\N,100,"Comedy,Crime,Thriller"
tt0051450,movie,Carmela è una bambola,Carmela è una bambola,0,1958,\N,90,Comedy
tt0051451,movie,Carosello di canzoni,Carosello di canzoni,0,1958,\N,90,"Comedy,Musical"
tt0051452,movie,Carry on Nurse,Carry on Nurse,0,1959,\N,86,"Comedy,Romance"
tt0051453,movie,Carry on Sergeant,Carry on Sergeant,0,1958,\N,84,"Comedy,War"
tt0051454,movie,Carve Her Name with Pride,Carve Her Name with Pride,0,1958,\N,119,"Biography,Drama,War"
tt0051455,movie,Guinguette,Guinguette,0,1959,\N,104,"Comedy,Crime"
tt0051456,movie,The Case Against Brooklyn,The Case Against Brooklyn,0,1958,\N,82,"Crime,Drama,Film-Noir"
tt0051458,movie,The Cat Gang,The Cat Gang,0,1959,\N,50,"Crime,Family"
tt0051459,movie,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,0,1958,\N,108,Drama
tt0051460,movie,I cattivi vanno in paradiso,I cattivi vanno in paradiso,0,1959,\N,\N,\N
tt0051461,movie,Cattle Empire,Cattle Empire,0,1958,\N,83,Western
tt0051462,movie,Cavalcade,Cavalcade,0,1959,\N,87,Adventure
tt0051463,movie,Cavalier in Devil's Castle,Il cavaliere del castello maledetto,0,1959,\N,80,Adventure
tt0051464,movie,Il cavaliere senza terra,Il cavaliere senza terra,0,1959,\N,111,Adventure
tt0051465,movie,La caída,La caída,0,1959,\N,84,Drama
tt0051466,movie,A Certain Smile,A Certain Smile,0,1958,\N,104,Drama
tt0051467,movie,Road Back,Cesta zpátky,0,1959,\N,92,"Crime,Drama"
tt0051468,movie,Four Kilometers Per Hour,Cetiri kilometra na sat,0,1958,\N,94,"Comedy,Drama"
tt0051469,movie,The Big Night,La notte brava,0,1959,\N,95,"Crime,Drama"
tt0051470,movie,Ch. P. - Chrezvychainoe proisshestvie,Ch. P. - Chrezvychainoe proisshestvie,0,1958,\N,88,"Action,Crime,Drama"
tt0051473,movie,La chatte,La chatte,0,1958,\N,108,"Drama,Romance,War"
tt0051475,movie,Red Cross Girls,Las chicas de la Cruz Roja,0,1958,\N,83,Comedy
tt0051476,movie,China Doll,China Doll,0,1958,\N,99,"Drama,Romance,War"
tt0051477,movie,Christine,Christine,0,1958,\N,95,"Comedy,Drama,Romance"
tt0051478,movie,Someone Else's Children,Skhvisi shvilebi,0,1958,\N,75,"Drama,Family,Romance"
tt0051479,movie,Cita imposible,Cita imposible,0,1958,\N,92,"Crime,Drama"
tt0051480,movie,Bugles of Fear,Los clarines del miedo,0,1958,\N,80,Drama
tt0051481,movie,Los cobardes,Los cobardes,0,1959,\N,85,"Crime,Drama"
tt0051482,movie,"Cole Younger, Gunfighter","Cole Younger, Gunfighter",0,1958,\N,78,Western
tt0051484,movie,The Colossus of New York,The Colossus of New York,0,1958,\N,70,"Horror,Sci-Fi"
tt0051485,movie,"Come te movi, te fulmino!","Come te movi, te fulmino!",0,1958,\N,90,"Comedy,Musical"
tt0051486,movie,The Woman's Confidant,Le confident de ces dames,0,1959,\N,85,Comedy
tt0051487,movie,Conspiracy of the Borgias,La congiura dei Borgia,0,1959,\N,93,Drama
tt0051488,movie,The Cool and the Crazy,The Cool and the Crazy,0,1958,\N,78,Drama
tt0051489,movie,Cop Hater,Cop Hater,0,1958,\N,75,"Crime,Drama,Film-Noir"
tt0051490,movie,Les copains du dimanche,Les copains du dimanche,0,1958,\N,100,"Comedy,Drama"
tt0051491,movie,Cortina di cristallo,Cortina di cristallo,0,1958,\N,\N,\N
tt0051492,movie,Count Five and Die,Count Five and Die,0,1957,\N,92,"Crime,Drama,History"
tt0051493,movie,Country Music Holiday,Country Music Holiday,0,1958,\N,81,"Music,Romance"
tt0051496,movie,Cowboy,Cowboy,0,1958,\N,92,"Drama,Western"
tt0051497,movie,Crash Landing,Crash Landing,0,1958,\N,76,"Drama,War"
tt0051498,movie,Black Pearls,Crni biseri,0,1958,\N,99,Drama
tt0051499,movie,Croquemitoufle,Croquemitoufle,0,1959,\N,90,Comedy
tt0051500,movie,The Cry Baby Killer,The Cry Baby Killer,0,1958,\N,70,"Crime,Drama,Thriller"
tt0051501,movie,Cry Terror!,Cry Terror!,0,1958,\N,96,"Crime,Film-Noir,Thriller"
tt0051502,movie,A Cry from the Streets,A Cry from the Streets,0,1958,\N,99,"Drama,Romance"
tt0051503,movie,The Smugglers,Csempészek,0,1958,\N,90,Drama
tt0051504,movie,The Soldiers of Pancho Villa,La cucaracha,0,1959,\N,97,"Drama,Romance,War"
tt0051505,movie,Cuenca,Cuenca,0,1958,\N,44,Documentary
tt0051507,movie,Curse of the Faceless Man,Curse of the Faceless Man,0,1958,\N,67,"Adventure,Horror,Sci-Fi"
tt0051508,movie,The Csardas Princess,Der Czardas-König,0,1958,\N,96,"Biography,Drama,Music"
tt0051509,movie,D-ale carnavalului,D-ale carnavalului,0,1958,\N,77,Comedy
tt0051510,movie,Dagli Appennini alle Ande,Dagli Appennini alle Ande,0,1959,\N,90,Drama
tt0051511,movie,Lucky Dragon No. 5,Daigo Fukuryu-Maru,0,1959,\N,115,Drama
tt0051512,movie,Varan,Daikaijû Baran,0,1958,\N,87,"Horror,Sci-Fi"
tt0051513,movie,Daktar Babu,Daktar Babu,0,1958,\N,\N,Drama
tt0051514,movie,Damen i svart,Damen i svart,0,1958,\N,113,"Mystery,Thriller"
tt0051515,movie,Damn Citizen,Damn Citizen,0,1958,\N,88,"Crime,Drama,Film-Noir"
