tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0033708,2.0,nm0695863,movie,Henry Aldrich for President,0.0,\N,75.0,Henry Aldrich for President,1941,"Comedy,Family",June Preisser,1920,1984,"actress,soundtrack","tt0037100,tt0038664,tt0040208,tt0031066",21
tt0033791,2.0,nm0552756,movie,Kiss the Boys Goodbye,0.0,\N,85,Kiss the Boys Goodbye,1941,Comedy,Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28
tt0033804,1.0,nm0001766,movie,The Lady Eve,0.0,\N,94,The Lady Eve,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34
tt0033814,3.0,nm0601073,movie,Las Vegas Nights,0.0,\N,90,Las Vegas Nights,1941,Comedy,Constance Moore,1920,2005,"actress,soundtrack,archive_footage","tt0036619,tt0032290,tt0037636,tt0033442",21
tt0033834,2.0,nm0259717,movie,Life with Henry,0.0,\N,80,Life with Henry,1940,"Comedy,Family,Romance",Leila Ernst,1920,1970,actress,tt0033834,20
tt0033851,2.0,nm0957936,movie,Louisiana Purchase,0.0,\N,98,Louisiana Purchase,1941,"Comedy,Musical",Vera Zorina,1917,2003,"actress,soundtrack,archive_footage","tt0032620,tt0033851,tt0036832,tt0030194",24
tt0033947,2.0,nm0552756,movie,New York Town,0.0,\N,94,New York Town,1941,"Comedy,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28
tt0033981,2.0,nm0140914,movie,One Night in Lisbon,0.0,\N,97.0,One Night in Lisbon,1941,Comedy,Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",35
tt0034116,3.0,nm0483787,movie,Road to Zanzibar,0.0,\N,91.0,Road to Zanzibar,1941,"Adventure,Comedy,Musical",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",27
tt0034198,1.0,nm0001055,movie,Skylark,0.0,\N,92.0,Skylark,1941,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",38
tt0034240,2.0,nm0000043,movie,Sullivan's Travels,0.0,\N,90,Sullivan's Travels,1941,"Adventure,Comedy,Drama",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",19
tt0034275,2.0,nm0288078,movie,The Hard-Boiled Canary,0.0,\N,80,The Hard-Boiled Canary,1941,"Comedy,Music,Romance",Susanna Foster,1924,2009,"actress,soundtrack,archive_footage","tt0036261,tt0033666,tt0036715,tt0037717",17
tt0034381,1.0,nm0794297,movie,West Point Widow,0.0,\N,63,West Point Widow,1941,"Comedy,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",23
tt0034402,2.0,nm0002068,movie,World Premiere,0.0,\N,71,World Premiere,1941,Comedy,Frances Farmer,1913,1970,"actress,writer,soundtrack","tt0032481,tt0029675,tt0035360,tt0028817",28
tt0034412,1.0,nm0048284,movie,You're the One,0.0,\N,83,You're the One,1941,"Comedy,Music,Romance",Bonnie Baker,1917,1990,"actress,soundtrack","tt4276820,tt0034412,tt0036382,tt0148560",24
tt0034467,2.0,nm0275897,movie,Are Husbands Necessary?,0.0,\N,79,Are Husbands Necessary?,1942,"Comedy,Mystery,Romance",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",26
tt0034510,1.0,nm0483787,movie,Beyond the Blue Horizon,0.0,\N,76,Beyond the Blue Horizon,1942,"Action,Adventure,Comedy",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28
tt0034842,4.0,nm0086830,movie,"Henry Aldrich, Editor",0.0,\N,72,"Henry Aldrich, Editor",1942,"Comedy,Drama,Family",Olive Blakeney,1894,1959,"actress,archive_footage","tt0038990,tt0034274,tt0035984,tt0036908",48
tt0034844,3.0,nm0027156,movie,Henry and Dizzy,0.0,\N,71,Henry and Dizzy,1942,"Comedy,Family",Mary Anderson,1918,2014,"actress,archive_footage","tt0037017,tt0031381,tt0037465,tt0036377",24
tt0034862,3.0,nm0721851,movie,Holiday Inn,0.0,\N,100,Holiday Inn,1942,"Comedy,Drama,Music",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",25
tt0034958,2.0,nm0794297,movie,Lady Bodyguard,0.0,\N,69,Lady Bodyguard,1943,Comedy,Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",25
tt0035019,1.0,nm0001677,movie,The Major and the Minor,0.0,\N,100,The Major and the Minor,1942,"Comedy,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",31
tt0035094,1.0,nm0047810,movie,Mrs. Wiggs of the Cabbage Patch,0.0,\N,80.0,Mrs. Wiggs of the Cabbage Patch,1942,"Comedy,Drama,Romance",Fay Bainter,1893,1968,"actress,soundtrack,archive_footage","tt0030287,tt0054743,tt0038116,tt0030973",49
tt0035100,2.0,nm0140914,movie,My Favorite Blonde,0.0,\N,78.0,My Favorite Blonde,1942,Comedy,Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",36
tt0035104,2.0,nm0640930,movie,My Heart Belongs to Daddy,0.0,\N,75.0,My Heart Belongs to Daddy,1942,"Comedy,Romance",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",20
tt0035126,2.0,nm0605685,movie,Night in New Orleans,0.0,\N,75.0,Night in New Orleans,1942,"Comedy,Crime,Drama",Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",27
tt0035169,1.0,nm0001055,movie,The Palm Beach Story,0.0,\N,88.0,The Palm Beach Story,1942,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",39
tt0035216,1.0,nm0587900,movie,Priorities on Parade,0.0,\N,79.0,Priorities on Parade,1942,"Comedy,Musical,Romance",Ann Miller,1923,2004,"actress,miscellaneous,soundtrack","tt0166924,tt0030993,tt0041716,tt0036306",19
tt0035247,3.0,nm0237655,movie,The Remarkable Andrew,0.0,\N,81.0,The Remarkable Andrew,1942,"Comedy,Fantasy",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",28
