tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0039676,1.0,nm0590055,John Mills,"tt0038574,tt0060395,tt0066319,tt0047094",39,2.0,nm0339343,movie,The October Man,0.0,\N,95,movie,The October Man,The October Man,0,1947,\N,95,"Crime,Mystery",Joan Greenwood,1921,1987,"actress,miscellaneous,soundtrack","tt0041546,tt0057590,tt0076161,tt0044876",26,13
tt0039677,1.0,nm0000051,James Mason,"tt0056193,tt0053125,tt0047522,tt0084855",38,6.0,nm0174029,movie,Odd Man Out,0.0,\N,116,movie,Odd Man Out,Odd Man Out,0,1947,\N,116,"Crime,Drama,Film-Noir",Fay Compton,1894,1978,"actress,soundtrack","tt0057129,tt0045251,tt0043727,tt0028485",53,-15
tt0039689,1.0,nm0000053,Robert Mitchum,"tt0039689,tt0048424,tt0056197,tt0050356",30,2.0,nm0339452,movie,Out of the Past,0.0,\N,97,movie,Out of the Past,Out of the Past,0,1947,\N,97,"Crime,Drama,Film-Noir",Jane Greer,1924,2001,"actress,soundtrack,archive_footage","tt0039689,tt0041178,tt0045053,tt0040835",23,7
tt0039694,1.0,nm0000060,Gregory Peck,"tt0056592,tt0038109,tt0077269,tt0046250",31,2.0,nm0002897,movie,The Paradine Case,0.0,\N,125,movie,The Paradine Case,The Paradine Case,0,1947,\N,125,"Crime,Drama,Romance",Ann Todd,1907,1993,"actress,soundtrack,archive_footage","tt0039694,tt0041735,tt0044446,tt0038924",40,-9
tt0039701,1.0,nm0942929,William Wright,"tt0035032,tt0039701,tt0036306,tt0041503",36,2.0,nm0042549,movie,Philo Vance Returns,0.0,\N,64,movie,Philo Vance Returns,Philo Vance Returns,0,1947,\N,64,"Action,Crime,Mystery",Vivian Austin,1920,2004,"actress,stunts,soundtrack","tt0039212,tt0039701,tt0039702,tt0037407",27,9
tt0039705,2.0,nm0905706,Leif Wager,"tt0137923,tt0043023,tt0039705,tt0124152",25,1.0,nm0407530,movie,Pikajuna pohjoiseen,0.0,\N,91,movie,Pikajuna pohjoiseen,Pikajuna pohjoiseen,0,1947,\N,91,"Crime,Drama,Thriller",Ansa Ikonen,1913,1989,"actress,director,soundtrack","tt0037424,tt0028454,tt0039705,tt0136967",34,-9
tt0039725,2.0,nm0001336,Van Heflin,"tt0046303,tt0050086,tt0040876,tt0036275",39,1.0,nm0001076,movie,Possessed,0.0,\N,108,movie,Possessed,Possessed,0,1947,\N,108,"Crime,Drama,Film-Noir",Joan Crawford,1906,1977,"actress,writer,producer","tt0056687,tt0037913,tt0042376,tt0046446",41,-2
tt0039730,1.0,nm0215260,Albert Dekker,"tt0065214,tt0048261,tt0032412,tt0039416",42,2.0,nm0185798,movie,The Pretender,0.0,\N,69,movie,The Pretender,The Pretender,0,1947,\N,69,"Crime,Drama,Film-Noir",Catherine Craig,1915,2004,actress,"tt0036912,tt0040106,tt0036383,tt0035172",32,10
tt0039739,1.0,nm0431212,Louis Jouvet,"tt0029706,tt0039739,tt0027552,tt0023963",60,2.0,nm0719135,movie,Quai des Orfèvres,0.0,\N,106,movie,Jenny Lamour,Quai des Orfèvres,0,1947,\N,106,"Crime,Drama",Simone Renant,1911,2004,"actress,archive_footage,archive_sound","tt0039739,tt0050950,tt0029394,tt0202492",36,24
tt0039748,1.0,nm0409869,John Ireland,"tt0041113,tt0040724,tt0054331,tt0038762",33,2.0,nm0752846,movie,Railroaded!,0.0,\N,72,movie,Railroaded!,Railroaded!,0,1947,\N,72,"Crime,Drama,Film-Noir",Sheila Ryan,1921,1975,"actress,soundtrack,archive_footage","tt0038459,tt0039580,tt0036379,tt0033676",26,7
tt0039752,1.0,nm0082178,Paul Bildt,"tt0029178,tt0029210,tt0164871,tt0047790",62,2.0,nm0121424,movie,Razzia,0.0,\N,90,movie,Police Raid,Razzia,0,1947,\N,90,"Crime,Drama",Elly Burgmer,1891,1975,actress,"tt0038769,tt0037401,tt1698549,tt0050505",56,6
tt0039761,1.0,nm0371775,Louis Hayward,"tt0037515,tt0042579,tt0031619,tt0039761",38,2.0,nm0504125,movie,Repeat Performance,0.0,\N,91,movie,Repeat Performance,Repeat Performance,0,1947,\N,91,"Crime,Drama,Fantasy",Joan Leslie,1925,2015,"actress,soundtrack,archive_footage","tt0036363,tt0035575,tt0034167,tt0038026",22,16
tt0039777,1.0,nm0791349,John Shelton,"tt0039037,tt0039777,tt0034748,tt0033782",32,2.0,nm0233352,movie,Road to the Big House,0.0,\N,74,movie,Road to the Big House,Road to the Big House,0,1947,\N,74,"Crime,Drama",Ann Doran,1911,2000,"actress,miscellaneous,soundtrack","tt0048545,tt0030993,tt0031614,tt0051786",36,-4
tt0039787,1.0,nm0145265,Don Castle,"tt0039787,tt0039212,tt0040460,tt0039439",30,3.0,nm0461739,movie,Roses Are Red,0.0,\N,67,movie,Roses Are Red,Roses Are Red,0,1947,\N,67,"Action,Crime,Drama",Peggy Knudsen,1923,1980,actress,"tt0038355,tt0038622,tt0050552,tt0048130",24,6
tt0039800,1.0,nm0000509,Bela Lugosi,"tt0021814,tt0024894,tt0031951,tt0024188",64,3.0,nm0483677,movie,Scared to Death,0.0,\N,65,movie,Scared to Death,Scared to Death,0,1946,\N,65,"Crime,Mystery,Thriller",Molly Lamont,1910,2001,"actress,soundtrack","tt0028597,tt0026542,tt0027830,tt0041904",36,28
tt0039807,1.0,nm0852710,Kent Taylor,"tt0032622,tt0040414,tt0033113,tt0031335",41,2.0,nm0192974,movie,Second Chance,0.0,\N,63,movie,Second Chance,Second Chance,0,1947,\N,63,"Crime,Drama,Film-Noir",Louise Currie,1913,2013,"actress,archive_footage","tt0035640,tt0037441,tt0033317,tt0039262",34,7
tt0039820,1.0,nm0905505,Russell Wade,"tt0037549,tt0039820,tt0037327,tt0035937",30,2.0,nm0910294,movie,Shoot to Kill,0.0,\N,64,movie,Shoot to Kill,Shoot to Kill,0,1947,\N,64,"Crime,Drama,Film-Noir",Luana Walters,1912,1963,"actress,archive_footage","tt0034613,tt0028241,tt0032420,tt0028589",35,-5
tt0039821,1.0,nm0393028,Oscar Homolka,"tt0048605,tt0049934,tt0040458,tt0033373",49,3.0,nm0667901,movie,The Shop at Sly Corner,0.0,\N,91,movie,The Shop at Sly Corner,The Shop at Sly Corner,0,1947,\N,91,"Crime,Drama,Film-Noir",Muriel Pavlow,1921,2019,actress,"tt0048621,tt0055205,tt0039821,tt0046029",26,23
tt0039829,1.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",39,2.0,nm0001257,movie,Singapore,0.0,\N,79,movie,Singapore,Singapore,0,1947,\N,79,"Action,Adventure,Crime",Ava Gardner,1922,1990,"actress,stunts,soundtrack","tt0058404,tt0046085,tt0053137,tt0043899",25,14
tt0039840,2.0,nm0101350,Lee Bowman,"tt0039840,tt0041671,tt0039094,tt0038084",33,1.0,nm0001333,movie,Smash-Up: The Story of a Woman,0.0,\N,103,movie,Smash-Up: The Story of a Woman,Smash-Up: The Story of a Woman,0,1947,\N,103,"Comedy,Crime,Drama",Susan Hayward,1917,1975,"actress,soundtrack,archive_footage","tt0045333,tt0051758,tt0048191,tt0041672",30,3
tt0039853,1.0,nm0001635,William Powell,"tt0025878,tt0028010,tt0039566,tt0027260",55,2.0,nm0001485,movie,Song of the Thin Man,0.0,\N,86,movie,Song of the Thin Man,Song of the Thin Man,0,1947,\N,86,"Comedy,Crime,Musical",Myrna Loy,1905,1993,"actress,soundtrack,archive_footage","tt0025878,tt0036868,tt0040613,tt0027260",42,13
tt0039881,1.0,nm0641454,Dennis O'Keefe,"tt0037557,tt0039881,tt0036104,tt0034303",39,4.0,nm0294146,movie,T-Men,0.0,\N,92,movie,T-Men,T-Men,0,1947,\N,92,"Crime,Film-Noir,Thriller",Mary Meade,1923,2003,actress,"tt0039881,tt0189604,tt0061810,tt0061592",24,15
tt0039882,1.0,nm0734521,Ebbe Rode,"tt0058138,tt0271815,tt0122491,tt0092603",37,2.0,nm0927689,movie,"Ta', hvad du vil ha'",0.0,\N,100.0,movie,Take What You Want,"Ta', hvad du vil ha'",0,1947,\N,100,"Crime,Drama",Agnes Thorberg Wieth,1886,1981,actress,"tt0042294,tt0038357,tt0039882,tt0124782",61,-24
tt0039883,1.0,nm0930776,Hugh Williams,"tt0039883,tt0032145,tt0035153,tt0044716",43,2.0,nm0350486,movie,Take My Life,0.0,\N,79.0,movie,Take My Life,Take My Life,0,1947,\N,79,"Crime,Drama,Film-Noir",Greta Gynt,1916,2000,"actress,soundtrack,archive_footage","tt0039883,tt0031208,tt0045092,tt0040199",31,12
tt0039889,1.0,nm0628579,Robert Newton,"tt0048960,tt0031505,tt0037367,tt0044426",42,2.0,nm0800386,movie,Temptation Harbour,0.0,\N,91.0,movie,Temptation Harbor,Temptation Harbour,0,1947,\N,91,"Crime,Drama",Simone Simon,1911,2005,"actress,soundtrack,archive_footage","tt0034587,tt0036733,tt0037034,tt0029957",36,6
