tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0031378,1.0,nm0219396,Richard Denning,"tt0050105,tt0050197,tt0046876,tt0047960",26,2.0,nm0128573,movie,Golden Gloves,0.0,\N,66.0,Golden Gloves,1940,"Crime,Drama,Sport",Jeanne Cagney,1919,1984,"actress,soundtrack,archive_footage","tt0042869,tt0035575,tt0040884,tt0044557",21,5
tt0032183,1.0,nm0107575,George Brent,"tt0031210,tt0024034,tt0031835,tt0040556",36,2.0,nm0592109,movie,Adventure in Diamonds,0.0,\N,76.0,Adventure in Diamonds,1940,"Crime,Drama",Isa Miranda,1905,1982,"actress,soundtrack,archive_footage","tt0040137,tt0063599,tt0031445,tt0035021",35,1
tt0032843,1.0,nm0615108,Ken Murray,"tt0056217,tt0032843,tt0060420,tt0039188",37,2.0,nm0387556,movie,A Night at Earl Carroll's,0.0,\N,62.0,A Night at Earl Carroll's,1940,"Comedy,Crime,Musical",Rose Hobart,1906,2000,"actress,soundtrack,archive_footage","tt0022835,tt0037611,tt0021074,tt0033747",34,3
tt0032876,1.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",54,2.0,nm0517578,movie,Opened by Mistake,0.0,\N,67.0,Opened by Mistake,1940,"Comedy,Crime,Mystery",Janice Logan,1915,1965,actress,"tt0032412,tt0032876,tt0221249,tt0032077",25,29
tt0032890,1.0,nm0378026,William Henry,"tt0025878,tt0032009,tt0032890,tt0038644",26,2.0,nm0197713,movie,Parole Fixer,0.0,\N,68.0,Parole Fixer,1940,"Action,Crime,Drama",Virginia Dale,1917,1994,"actress,soundtrack,archive_footage","tt0034862,tt0031221,tt0031031,tt0040296",23,3
tt0032958,1.0,nm0000897,Ralph Bellamy,"tt0034398,tt0032599,tt0086465,tt0028597",36,2.0,nm0951063,movie,Queen of the Mob,0.0,\N,61.0,Queen of the Mob,1940,"Crime,Drama",Blanche Yurka,1887,1974,"actress,archive_footage","tt0027075,tt0036377,tt0036731,tt0036672",53,-17
tt0033244,1.0,nm0848667,Akim Tamiroff,"tt0052311,tt0035896,tt0058898,tt0057427",41,2.0,nm0313438,movie,The Way of All Flesh,0.0,\N,86.0,The Way of All Flesh,1940,"Crime,Drama,Romance",Gladys George,1900,1954,"actress,soundtrack,archive_footage","tt0031867,tt0033870,tt0036868,tt0043625",40,1
tt0033272,2.0,nm0656745,Robert Paige,"tt0036376,tt0030234,tt0031324,tt0029223",30,1.0,nm0237655,movie,Women Without Names,0.0,\N,62.0,Women Without Names,1940,"Crime,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,4
tt0033861,1.0,nm0001651,Basil Rathbone,"tt0029843,tt0035317,tt0036348,tt0032762",48,2.0,nm0237655,movie,The Mad Doctor,0.0,\N,90.0,The Mad Doctor,1940,"Crime,Film-Noir,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,22
tt0033916,2.0,nm0656745,Robert Paige,"tt0036376,tt0030234,tt0031324,tt0029223",31,1.0,nm0237655,movie,The Monster and the Girl,0.0,\N,65.0,The Monster and the Girl,1941,"Crime,Drama,Horror",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27,4
